roundID,text,playerID,director_msg,chit_chat
01JH1GEKFB5NBY69AD96WZ803W,"1 flat feet standing, with 2 pointy feet on the side",01JH1FPREF39YP71EGNKJGH49Q,TRUE,FALSE
01JH1GEKF9NKC5W7TCEHK93YGC,1 flat foot,01JH1FPREF39YP71EGNKJGH49Q,TRUE,FALSE
01JH1GEKDJK1CJX43GPWGCA5ND,1 flat standing foot,01JH1FPREF39YP71EGNKJGH49Q,TRUE,FALSE
01JH1G7BSWRYK1Q0WD3E5VD55Y,1 spike,01JH1G3JJ3BXQMGP4WP8VP19T2,TRUE,FALSE
01JH1FTZ444JRVDA72867MP7D4,hope you're having a good day btw,01JH1FPHKPB5NF5G3K1BA1EMSZ,FALSE,FALSE
01JH1GEKGBF4WPZFDMTQ5AQ7KK,2 close pointy feet,01JH1FPREF39YP71EGNKJGH49Q,TRUE,FALSE
01JH1GEKH3YM1DQVNJR99CD8SW,2 close pointy feet,01JH1FPREF39YP71EGNKJGH49Q,TRUE,FALSE
01JH1FTZ37YHKRHB3RBFBH735Y,Is there an empty space,01JH1FD62ME2NE4MQZBQHN41G6,FALSE,FALSE
01JH1FTZ37YHKRHB3RBFBH735Y,for the C,01JH1FD62ME2NE4MQZBQHN41G6,FALSE,FALSE
01JH1GEKFQNP9KF37YJXSW3228,2 close pointy feet,01JH1FPREF39YP71EGNKJGH49Q,TRUE,FALSE
01JH1GEKE8JYSF65YJ4V2H496X,2 flat feet,01JH1FPREF39YP71EGNKJGH49Q,TRUE,FALSE
01JH1GEKGZSFFSGTD2259P4FP0,2 flat feet,01JH1FPREF39YP71EGNKJGH49Q,TRUE,FALSE
01JH1GEKG4NZ31Q23193NMFYZV,2 flat feet,01JH1FPREF39YP71EGNKJGH49Q,TRUE,FALSE
01JH1GEKB3TNZBMFTQ0R8Z6ZS0,"2 flat feet, with a whole in the middle",01JH1FPREF39YP71EGNKJGH49Q,TRUE,FALSE
01JH1GEKFS1GRHD37P9MBAQ95X,"2 pointy feet, diagonal rectangle head",01JH1FPREF39YP71EGNKJGH49Q,TRUE,FALSE
