roundID,gameID,trialNum,playerID,text,director_msg
01M14TP6PPWS9GYF26K68PA1FA,01M14SGHT1R1T89RW3KEBWKX4S,23,01M14T36DFG88TQ0ZWSNKRAPJ2,like a  tilapia fish,TRUE
01M14TP6VAMKQGEQ7V5234YNVH,01M14SGHT1R1T89RW3KEBWKX4S,33,01M14T36DFG88TQ0ZWSNKRAPJ2,stacked block narrowing to,TRUE
01M14TWRRCTJ8VRTBNE0HG0GA5,01M14SGHSZFM9JBEJ22KKAENMP,37,01M14TB49R9EXHJJTJ0T86KJ84,"not the man on the bat signal, the other shape without the rectangle",TRUE
01M14TWRRZSCSYZR8Q46EYQJ0A,01M14SGHSZFM9JBEJ22KKAENMP,47,01M14TB49R9EXHJJTJ0T86KJ84,chicken on the hat shape,TRUE
01M14TP6PG2GDJ8JPVFV386YEG,01M14SGHT1R1T89RW3KEBWKX4S,27,01M14T36DFG88TQ0ZWSNKRAPJ2,whale tail floating over an upward arrow,TRUE
01M14TSZ2099Z863EXQ5CZKME3,01M14SGHT011RS3K43GJ2H3XM3,11,01M14TK5TJHPMJ8EVNSFSWK56R,same thing with offset rectangle at the bottom,TRUE
01M14TSZ6Q9XTRBZ7ATNKEVTPE,01M14SGHT011RS3K43GJ2H3XM3,32,01M14TNZR32DDYDVE7ADVHXW77,Offset rectangle bottom,TRUE
01M14TSZ7S5CHG93N97QFE06JK,01M14SGHT011RS3K43GJ2H3XM3,30,01M14TNZR32DDYDVE7ADVHXW77,"Offset rectangle bottom, banana thing top",TRUE
01M14TWRRQR7NJ1BDKKDATJHC2,01M14SGHSZFM9JBEJ22KKAENMP,33,01M14TB49R9EXHJJTJ0T86KJ84,man standing on bat signal,TRUE
01M14TWRRQR7NJ1BDKKDATJHC2,01M14SGHSZFM9JBEJ22KKAENMP,33,01M14TNNG989SSWD0DKW0RVGNH,does it have a rectangle over the head?,FALSE
01M14TWRRQR7NJ1BDKKDATJHC2,01M14SGHSZFM9JBEJ22KKAENMP,33,01M14TB49R9EXHJJTJ0T86KJ84,yes,TRUE
01M14TP6PJTE8K72T3GGB5AWAK,01M14SGHT1R1T89RW3KEBWKX4S,26,01M14TDEA04KFX2ZPQMKS3Y9DB,"This one has a big square at the bottom, with a rectnagle protruding on the right of it",TRUE
01M14TP6PJTE8K72T3GGB5AWAK,01M14SGHT1R1T89RW3KEBWKX4S,26,01M14TDEA04KFX2ZPQMKS3Y9DB,There is another rectangle on the top and a triangle on the left side of it,TRUE
01M14TWRSMQRRGN15Z7Q8REQ34,01M14SGHSZFM9JBEJ22KKAENMP,25,01M14TB49R9EXHJJTJ0T86KJ84,rectangle above cup,TRUE
01M14TWRSJK5YSW8C4610NNH9T,01M14SGHSZFM9JBEJ22KKAENMP,27,01M14TB49R9EXHJJTJ0T86KJ84,"no inverted white triangle, shape standing on bat signal",TRUE
01M14TP6QMVGD04CRSQM22FW2R,01M14SGHT1R1T89RW3KEBWKX4S,6,01M14TDEA04KFX2ZPQMKS3Y9DB,This one is like a square at the bottom with a rectangular protrusion to the left.,TRUE
01M14TSZ1QPYMAK90S0T618TD6,01M14SGHT011RS3K43GJ2H3XM3,8,01M14TNZR32DDYDVE7ADVHXW77,Weird looking banana thing from before on top again,TRUE
01M14TSZ7PD1R05446YE8RWFJ0,01M14SGHT011RS3K43GJ2H3XM3,41,01M14TK5TJHPMJ8EVNSFSWK56R,square bottom left,TRUE
