playerID,gameID,contextStructure,setId,setReplicate,phase,order,image,label,cell,top,bottom,text,shownAt,submittedAt,rt_sec,autoSubmitted
01M14TB49R9EXHJJTJ0T86KJ84,01M14SGHSZFM9JBEJ22KKAENMP,comp-within,2,0,pretest,0,398_345.png,J10,entirely_held_out,398,345,it looks like a swan rotated clockwise and has a long surface pointing diagonally to the left.,1787942572127,1787942625047,52.92,FALSE
01M14TB49R9EXHJJTJ0T86KJ84,01M14SGHSZFM9JBEJ22KKAENMP,comp-within,2,0,pretest,1,128_342.png,C3,novel_combination,128,342,it looks like an mammal standing on an upside down pyramid with a flat top.,1787942625049,1787942667591,42.542,FALSE
01M14TB49R9EXHJJTJ0T86KJ84,01M14SGHSZFM9JBEJ22KKAENMP,comp-within,2,0,pretest,2,186_218.png,D8,familiar_top_novel_bottom,186,218,"it looks like a chicken with a small diamond coming from its head, it is looking toward the left.",1787942667593,1787942689270,21.677,FALSE
01M14TB49R9EXHJJTJ0T86KJ84,01M14SGHSZFM9JBEJ22KKAENMP,comp-within,2,0,pretest,3,10_7.png,A2,trained_distribution,10,7,it looks like a triangle at the bottom with a cube in the middle and two legs coming out of the top,1787942689271,1787942731718,42.447,FALSE
01M14TB49R9EXHJJTJ0T86KJ84,01M14SGHSZFM9JBEJ22KKAENMP,comp-within,2,0,pretest,4,78_152.png,L12,entirely_held_out,78,152,it is very jagged with alot of points and looks like a figure looking toward the left,1787942731720,1787942779960,48.24,FALSE
01M14TB49R9EXHJJTJ0T86KJ84,01M14SGHSZFM9JBEJ22KKAENMP,comp-within,2,0,pretest,5,206_349.png,H4,novel_top_familiar_bottom,206,349,a rectangle at the top with an abnormal shape below it that is disconnected.,1787942779962,1787942801297,21.335,FALSE
01M14TB49R9EXHJJTJ0T86KJ84,01M14SGHSZFM9JBEJ22KKAENMP,comp-within,2,0,pretest,6,339_311.png,K11,entirely_held_out,339,311,it looks like a mountain range.,1787942801299,1787942817586,16.287,FALSE
01M14TB49R9EXHJJTJ0T86KJ84,01M14SGHSZFM9JBEJ22KKAENMP,comp-within,2,0,pretest,7,186_15.png,D1,trained_distribution,186,15,it is large and black and takes up most of the areas with recetangles at the bottom and triangular shapes on the side.,1787942817587,1787942854649,37.062,FALSE
01M14TB49R9EXHJJTJ0T86KJ84,01M14SGHSZFM9JBEJ22KKAENMP,comp-within,2,0,pretest,8,124_7.png,F2,novel_top_familiar_bottom,124,7,it looks like a y behind an m shape.,1787942854651,1787942874774,20.123,FALSE
01M14TB49R9EXHJJTJ0T86KJ84,01M14SGHSZFM9JBEJ22KKAENMP,comp-within,2,0,pretest,9,421_342.png,B3,trained_distribution,421,342,it looks like a chicken sitting on an L turned sideways.,1787942874776,1787942890207,15.431,FALSE
01M14TB49R9EXHJJTJ0T86KJ84,01M14SGHSZFM9JBEJ22KKAENMP,comp-within,2,0,pretest,10,128_349.png,C4,trained_distribution,128,349,it looks like a man balanced on a seasaw.,1787942890209,1787942901698,11.489,FALSE
01M14TB49R9EXHJJTJ0T86KJ84,01M14SGHSZFM9JBEJ22KKAENMP,comp-within,2,0,pretest,11,258_353.png,I9,entirely_held_out,258,353,it has both points and squared areas with a rectangle in the top left corner.,1787942901700,1787942936041,34.341,FALSE
01M14TB49R9EXHJJTJ0T86KJ84,01M14SGHSZFM9JBEJ22KKAENMP,comp-within,2,0,pretest,12,188_15.png,E1,novel_top_familiar_bottom,188,15,it has a large head and legs coming out at the bottom.,1787942936043,1787942955264,19.221,FALSE
01M14TB49R9EXHJJTJ0T86KJ84,01M14SGHSZFM9JBEJ22KKAENMP,comp-within,2,0,pretest,13,10_241.png,A5,familiar_top_novel_bottom,10,241,it has two triangles balanced together and an arrow at the top.,1787942955265,1787942978268,23.003,FALSE
01M14TB49R9EXHJJTJ0T86KJ84,01M14SGHSZFM9JBEJ22KKAENMP,comp-within,2,0,pretest,14,421_7.png,B2,novel_combination,421,7,it has a black bottom left corner and a y shaped areas in the top.,1787942978269,1787943001758,23.489,FALSE
01M14TB49R9EXHJJTJ0T86KJ84,01M14SGHSZFM9JBEJ22KKAENMP,comp-within,2,0,pretest,15,186_349.png,D4,novel_combination,186,349,it looks like a man with a rectangle head disconnected from the body.,1787943001760,1787943019698,17.938,FALSE
01M14TB49R9EXHJJTJ0T86KJ84,01M14SGHSZFM9JBEJ22KKAENMP,comp-within,2,0,pretest,16,199_342.png,G3,novel_top_familiar_bottom,199,342,it looks like a bird sitting on an object. there is a narrow white horizontal line between the two shapes.,1787943019700,1787943045026,25.326,FALSE
01M14TB49R9EXHJJTJ0T86KJ84,01M14SGHSZFM9JBEJ22KKAENMP,comp-within,2,0,pretest,17,128_121.png,C7,familiar_top_novel_bottom,128,121,it looks like a girl balancing on a seasaw.,1787943045028,1787943058002,12.974,FALSE
01M14TB49R9EXHJJTJ0T86KJ84,01M14SGHSZFM9JBEJ22KKAENMP,comp-within,2,0,pretest,18,10_15.png,A1,novel_combination,10,15,"it looks like a cube with two triangles, one at the top and one at the bottom.",1787943058004,1787943077175,19.171,FALSE
01M14TB49R9EXHJJTJ0T86KJ84,01M14SGHSZFM9JBEJ22KKAENMP,comp-within,2,0,pretest,19,421_412.png,B6,familiar_top_novel_bottom,421,412,it has an L shape turned clockwise at the bottom.,1787943077177,1787943098379,21.202,FALSE
