id,batchID,batchIDLastChangedAt,chat,chatLastChangedAt,director,correct,correctLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,numTrials,numTrialsLastChangedAt,repNum,repNumLastChangedAt,reps,repsLastChangedAt,response,responseLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt,tangramURLs,tangramURLsLastChangedAt,target,targetLastChangedAt,targetNum,targetNumLastChangedAt,trialNum,trialNumLastChangedAt
01JH1G5PQPBJK80AZYYXDBTYWZ,01JH1F0VV6DMN73981986B8RYJ,2025-01-07T23:04:08.182175966Z,"[{""text"":""an M on top of a downwards arrow"",""sender"":{""id"":""01JH1G2MSZ3J6DCAMVNV5RMHWN"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2025-01-07T23:10:27.165572546Z,01JH1G2MSZ3J6DCAMVNV5RMHWN,TRUE,2025-01-07T23:10:35.00573476Z,TRUE,2025-01-07T23:10:34.99699475Z,01JH1F0VW7XB18ASJ0NKJ196TK,2025-01-07T23:04:08.182175966Z,10,2025-01-07T23:04:08.182175966Z,65,2025-01-07T23:04:08.182175966Z,0,2025-01-07T23:04:08.182175966Z,4,2025-01-07T23:04:08.182175966Z,/tangrams/226_459.png,2025-01-07T23:10:35.00573476Z,2,2025-01-07T23:04:08.399095822Z,TRUE,2025-01-07T23:10:12.389696316Z,"[""/tangrams/226_399.png"",""/tangrams/440_459.png"",""/tangrams/226_459.png"",""/tangrams/440_399.png""]",2025-01-07T23:04:08.182175966Z,/tangrams/226_459.png,2025-01-07T23:04:08.182175966Z,11,2025-01-07T23:04:08.182175966Z,10,2025-01-07T23:04:08.182175966Z
01JH1G7BRB0VDEFM07TVC46Z2X,01JH1F2GWN9BRWEZHJG2Y9F7DZ,2025-01-07T23:05:02.475247839Z,"[{""text"":""Hat w hook under"",""sender"":{""id"":""01JH1G2K4Y4Y76VDGDG3R2VZNF"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2025-01-07T23:08:58.587602722Z,01JH1G2K4Y4Y76VDGDG3R2VZNF,TRUE,2025-01-07T23:09:08.603453286Z,TRUE,2025-01-07T23:09:08.596773244Z,01JH1F2GX7DR1ZQG7AGSN3KRT7,2025-01-07T23:05:02.475247839Z,5,2025-01-07T23:05:02.475247839Z,65,2025-01-07T23:05:02.475247839Z,0,2025-01-07T23:05:02.475247839Z,4,2025-01-07T23:05:02.475247839Z,/tangrams/267_188.png,2025-01-07T23:09:08.603453286Z,2,2025-01-07T23:05:02.681949635Z,TRUE,2025-01-07T23:08:41.871444438Z,"[""/tangrams/267_36.png"",""/tangrams/267_188.png"",""/tangrams/270_188.png"",""/tangrams/270_36.png""]",2025-01-07T23:05:02.475247839Z,/tangrams/267_188.png,2025-01-07T23:05:02.475247839Z,6,2025-01-07T23:05:02.475247839Z,5,2025-01-07T23:05:02.475247839Z
01JH1GVRC46YP29YB1XTRRTBQW,01JH1FPYRY2N1PAAP7WYQBA41J,2025-01-07T23:16:10.756923442Z,"[{""text"":""crossed rectangles on the left, giant diamond on the right"",""sender"":{""id"":""01JH1GP991AKWX71GS1CEY9R1N"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2025-01-07T23:41:05.819279479Z,01JH1GP991AKWX71GS1CEY9R1N,FALSE,2025-01-07T23:41:52.434721031Z,TRUE,2025-01-07T23:41:52.417962433Z,01JH1FPYSBXXZ6KPHKJBRG98KY,2025-01-07T23:16:10.756923442Z,28,2025-01-07T23:16:10.756923442Z,65,2025-01-07T23:16:10.756923442Z,1,2025-01-07T23:16:10.756923442Z,4,2025-01-07T23:16:10.756923442Z,,2025-01-07T23:41:52.434721031Z,2,2025-01-07T23:16:11.649883563Z,TRUE,2025-01-07T23:40:49.055488146Z,"[""/tangrams/98_161.png"",""/tangrams/98_40.png"",""/tangrams/159_161.png"",""/tangrams/159_40.png""]",2025-01-07T23:16:10.756923442Z,/tangrams/159_40.png,2025-01-07T23:16:10.756923442Z,13,2025-01-07T23:16:10.756923442Z,28,2025-01-07T23:16:10.756923442Z
01JH1FTZ444JRVDA72867MP7D4,01JH1F0VV6DMN73981986B8RYJ,2025-01-07T22:58:16.324301197Z,"[{""text"":""Fish"",""sender"":{""id"":""01JH1FD62ME2NE4MQZBQHN41G6"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}},{""text"":""hope you're having a good day btw"",""sender"":{""id"":""01JH1FPHKPB5NF5G3K1BA1EMSZ"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2025-01-07T23:19:51.252816652Z,01JH1FD62ME2NE4MQZBQHN41G6,TRUE,2025-01-07T23:19:55.761039666Z,TRUE,2025-01-07T23:19:55.74843112Z,01JH1F0VW7XB18ASJ0P081ZZVT,2025-01-07T22:58:16.324301197Z,53,2025-01-07T22:58:16.324301197Z,65,2025-01-07T22:58:16.324301197Z,3,2025-01-07T22:58:16.324301197Z,4,2025-01-07T22:58:16.324301197Z,/tangrams/48_116.png,2025-01-07T23:19:55.761039666Z,2,2025-01-07T22:58:16.97040394Z,TRUE,2025-01-07T23:19:46.492012181Z,"[""/tangrams/171_414.png"",""/tangrams/63_124.png"",""/tangrams/48_116.png"",""/tangrams/454_215.png""]",2025-01-07T22:58:16.324301197Z,/tangrams/48_116.png,2025-01-07T22:58:16.324301197Z,6,2025-01-07T22:58:16.324301197Z,53,2025-01-07T22:58:16.324301197Z
01JH1FWZA5SCGGX5V0ADD7K4W5,01JH1F0VV6DMN73981986B8RYJ,2025-01-07T22:59:22.053882561Z,,,,,,FALSE,2025-01-07T22:59:22.053882561Z,01JH1F0VW6JT3H4WKEJFKRQGWC,2025-01-07T22:59:22.053882561Z,58,2025-01-07T22:59:22.053882561Z,65,2025-01-07T22:59:22.053882561Z,3,2025-01-07T22:59:22.053882561Z,4,2025-01-07T22:59:22.053882561Z,,,2,2025-01-07T22:59:22.820628358Z,FALSE,2025-01-07T22:59:22.053882561Z,"[""/tangrams/337_243.png"",""/tangrams/78_219.png"",""/tangrams/162_92.png"",""/tangrams/1_279.png""]",2025-01-07T22:59:22.053882561Z,/tangrams/78_219.png,2025-01-07T22:59:22.053882561Z,11,2025-01-07T22:59:22.053882561Z,58,2025-01-07T22:59:22.053882561Z
01JH1GW10C0Z11QQD13DZA4ACD,01JH1FPYRY2N1PAAP7WYQBA41J,2025-01-07T23:16:19.596462517Z,"[{""text"":""white arrow"",""sender"":{""id"":""01JH1GBNHJM7YQ13QAZ9FXAW07"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2025-01-07T23:48:59.78706035Z,01JH1GBNHJM7YQ13QAZ9FXAW07,TRUE,2025-01-07T23:49:06.270368011Z,TRUE,2025-01-07T23:49:06.248422276Z,01JH1FPYSD6AFHHMZW70VZN68N,2025-01-07T23:16:19.596462517Z,56,2025-01-07T23:16:19.596462517Z,65,2025-01-07T23:16:19.596462517Z,3,2025-01-07T23:16:19.596462517Z,4,2025-01-07T23:16:19.596462517Z,/tangrams/128_147.png,2025-01-07T23:49:06.270368011Z,2,2025-01-07T23:16:21.405491851Z,TRUE,2025-01-07T23:48:51.916019987Z,"[""/tangrams/128_147.png"",""/tangrams/316_409.png"",""/tangrams/377_372.png"",""/tangrams/367_207.png""]",2025-01-07T23:16:19.596462517Z,/tangrams/128_147.png,2025-01-07T23:16:19.596462517Z,9,2025-01-07T23:16:19.596462517Z,56,2025-01-07T23:16:19.596462517Z
01JH1FTZ37YHKRHB3RBFBH735Y,01JH1F0VV6DMN73981986B8RYJ,2025-01-07T22:58:16.295925469Z,"[{""text"":""left side is a sharp C, the right side looks like a fish vertically"",""sender"":{""id"":""01JH1FPHKPB5NF5G3K1BA1EMSZ"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}},{""text"":""Is there an empty space"",""sender"":{""id"":""01JH1FD62ME2NE4MQZBQHN41G6"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}},{""text"":""for the C"",""sender"":{""id"":""01JH1FD62ME2NE4MQZBQHN41G6"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}},{""text"":""yes"",""sender"":{""id"":""01JH1FPHKPB5NF5G3K1BA1EMSZ"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2025-01-07T23:01:40.551512088Z,01JH1FPHKPB5NF5G3K1BA1EMSZ,TRUE,2025-01-07T23:01:44.713470614Z,TRUE,2025-01-07T23:01:44.707992072Z,01JH1F0VW7XB18ASJ0P081ZZVT,2025-01-07T22:58:16.295925469Z,4,2025-01-07T22:58:16.295925469Z,65,2025-01-07T22:58:16.295925469Z,0,2025-01-07T22:58:16.295925469Z,4,2025-01-07T22:58:16.295925469Z,/tangrams/366_342.png,2025-01-07T23:01:44.713470614Z,2,2025-01-07T22:58:16.427319553Z,TRUE,2025-01-07T23:00:50.551099381Z,"[""/tangrams/366_342.png"",""/tangrams/48_116.png"",""/tangrams/63_124.png"",""/tangrams/169_394.png""]",2025-01-07T22:58:16.295925469Z,/tangrams/366_342.png,2025-01-07T22:58:16.295925469Z,5,2025-01-07T22:58:16.295925469Z,4,2025-01-07T22:58:16.295925469Z
01JH1GEKF5N2HXMBBHNKFYDY37,01JH1F2GWN9BRWEZHJG2Y9F7DZ,2025-01-07T23:08:59.749058626Z,"[{""text"":""two flat feet"",""sender"":{""id"":""01JH1GAWVS14DV5X2Y8EWRJHJA"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2025-01-07T23:24:35.006636492Z,01JH1GAWVS14DV5X2Y8EWRJHJA,TRUE,2025-01-07T23:24:42.62205143Z,TRUE,2025-01-07T23:24:42.59011771Z,01JH1F2GX5K41HMV06X44CSAH5,2025-01-07T23:08:59.749058626Z,36,2025-01-07T23:08:59.749058626Z,65,2025-01-07T23:08:59.749058626Z,2,2025-01-07T23:08:59.749058626Z,4,2025-01-07T23:08:59.749058626Z,/tangrams/215_40.png,2025-01-07T23:24:42.62205143Z,2,2025-01-07T23:09:00.530480316Z,TRUE,2025-01-07T23:24:25.580057851Z,"[""/tangrams/130_37.png"",""/tangrams/3_84.png"",""/tangrams/21_410.png"",""/tangrams/215_40.png""]",2025-01-07T23:08:59.749058626Z,/tangrams/215_40.png,2025-01-07T23:08:59.749058626Z,5,2025-01-07T23:08:59.749058626Z,36,2025-01-07T23:08:59.749058626Z
01JH1G5PQNTD8AHW8S4G7RW3EK,01JH1F0VV6DMN73981986B8RYJ,2025-01-07T23:04:08.181189426Z,"[{""text"":""mountain on sideways arrow"",""sender"":{""id"":""01JH1G2MSZ3J6DCAMVNV5RMHWN"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2025-01-07T23:24:07.495982099Z,01JH1G2MSZ3J6DCAMVNV5RMHWN,TRUE,2025-01-07T23:24:13.840549117Z,TRUE,2025-01-07T23:24:13.824444028Z,01JH1F0VW7XB18ASJ0NKJ196TK,2025-01-07T23:04:08.181189426Z,54,2025-01-07T23:04:08.181189426Z,65,2025-01-07T23:04:08.181189426Z,3,2025-01-07T23:04:08.181189426Z,4,2025-01-07T23:04:08.181189426Z,/tangrams/363_145.png,2025-01-07T23:24:13.840549117Z,2,2025-01-07T23:04:09.026107582Z,TRUE,2025-01-07T23:24:00.454594286Z,"[""/tangrams/363_145.png"",""/tangrams/363_57.png"",""/tangrams/440_145.png"",""/tangrams/440_57.png""]",2025-01-07T23:04:08.181189426Z,/tangrams/363_145.png,2025-01-07T23:04:08.181189426Z,7,2025-01-07T23:04:08.181189426Z,54,2025-01-07T23:04:08.181189426Z
01JH1GNR927DZ1PP8M1KQ0REDN,01JH1FPYRY2N1PAAP7WYQBA41J,2025-01-07T23:12:54.05055777Z,"[{""text"":""Explosion"",""sender"":{""id"":""01JH1G7TBAW0TJF4QY7G4XKC3K"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2025-01-07T23:34:49.113101466Z,01JH1G7TBAW0TJF4QY7G4XKC3K,TRUE,2025-01-07T23:34:56.327010889Z,TRUE,2025-01-07T23:34:56.306208898Z,01JH1FPYSBXXZ6KPHKHW6Q97EB,2025-01-07T23:12:54.05055777Z,55,2025-01-07T23:12:54.05055777Z,65,2025-01-07T23:12:54.05055777Z,3,2025-01-07T23:12:54.05055777Z,4,2025-01-07T23:12:54.05055777Z,/tangrams/181_310.png,2025-01-07T23:34:56.327010889Z,2,2025-01-07T23:12:55.468330921Z,TRUE,2025-01-07T23:34:28.599590949Z,"[""/tangrams/101_332.png"",""/tangrams/90_359.png"",""/tangrams/322_84.png"",""/tangrams/181_310.png""]",2025-01-07T23:12:54.05055777Z,/tangrams/181_310.png,2025-01-07T23:12:54.05055777Z,8,2025-01-07T23:12:54.05055777Z,55,2025-01-07T23:12:54.05055777Z
