roundID,correct,gameID,index,numTrials,repNum,response,target,targetNum,trialNum,tangramURLs,contextStructure,kept_game,playerID,contextStructure_f,text,total_num_words,total_num_chars,actualPlayerCount,batchID,contextSize,status,targets,rotation,sampled_game
01JHRSCZEC53E0CPQ25WSSKE4W,TRUE,01JHRRNGG8Q3DJPC96ATPSFZ19,49,65,3,/tangrams/140_278.png,/tangrams/140_278.png,2,49,"[""/tangrams/162_360.png"",""/tangrams/140_278.png"",""/tangrams/17_417.png"",""/tangrams/463_131.png""]",comp-between,TRUE,01JHRRTZGC78GB9ZRD0ZQ2R0DF,Across Trial,light switch,2,12,2,01JHRRNG6B3GT21XEE5NYSMEJ0,4,ended,"[[140,417],[140,278],[140,131],[140,360],[162,417],[162,278],[162,131],[162,360],[463,417],[463,278],[463,131],[463,360],[17,417],[17,278],[17,131],[17,360]]",90,TRUE
01JHRSCZHAEGPXS4J6GSDJSKEA,TRUE,01JHRRNGG8Q3DJPC96ATPSFZ19,52,65,3,/tangrams/162_131.png,/tangrams/162_131.png,5,52,"[""/tangrams/140_278.png"",""/tangrams/463_360.png"",""/tangrams/17_417.png"",""/tangrams/162_131.png""]",comp-between,TRUE,01JHRRV8PYWS1Z7KE8QS54BJ2B,Across Trial,"hat left batman points rop right, top",7,35,2,01JHRRNG6B3GT21XEE5NYSMEJ0,4,ended,"[[140,417],[140,278],[140,131],[140,360],[162,417],[162,278],[162,131],[162,360],[463,417],[463,278],[463,131],[463,360],[17,417],[17,278],[17,131],[17,360]]",90,TRUE
01JHRSD09NABFJ26DN9KQXA40H,TRUE,01JHRRNGG8Q3DJPC96ATPSFZ19,58,65,3,/tangrams/17_278.png,/tangrams/17_278.png,11,58,"[""/tangrams/140_131.png"",""/tangrams/463_360.png"",""/tangrams/17_278.png"",""/tangrams/162_417.png""]",comp-between,TRUE,01JHRRV8PYWS1Z7KE8QS54BJ2B,Across Trial,C right,2,7,2,01JHRRNG6B3GT21XEE5NYSMEJ0,4,ended,"[[140,417],[140,278],[140,131],[140,360],[162,417],[162,278],[162,131],[162,360],[463,417],[463,278],[463,131],[463,360],[17,417],[17,278],[17,131],[17,360]]",90,TRUE
01JHRSD0PG6GGGV68TPMCC0DWM,TRUE,01JHRRNGG8Q3DJPC96ATPSFZ19,63,65,3,/tangrams/162_360.png,/tangrams/162_360.png,16,63,"[""/tangrams/17_278.png"",""/tangrams/162_360.png"",""/tangrams/463_417.png"",""/tangrams/140_131.png""]",comp-between,TRUE,01JHRRTZGC78GB9ZRD0ZQ2R0DF,Across Trial,"oblong box pointy ends, right hook",6,32,2,01JHRRNG6B3GT21XEE5NYSMEJ0,4,ended,"[[140,417],[140,278],[140,131],[140,360],[162,417],[162,278],[162,131],[162,360],[463,417],[463,278],[463,131],[463,360],[17,417],[17,278],[17,131],[17,360]]",90,TRUE
01JHRSCZT7A42FAZYXHYB5C8CB,TRUE,01JHRRNGG8Q3DJPC96ATPSFZ19,56,65,3,/tangrams/162_417.png,/tangrams/162_417.png,9,56,"[""/tangrams/140_278.png"",""/tangrams/463_360.png"",""/tangrams/17_131.png"",""/tangrams/162_417.png""]",comp-between,TRUE,01JHRRV8PYWS1Z7KE8QS54BJ2B,Across Trial,diamond left,2,12,2,01JHRRNG6B3GT21XEE5NYSMEJ0,4,ended,"[[140,417],[140,278],[140,131],[140,360],[162,417],[162,278],[162,131],[162,360],[463,417],[463,278],[463,131],[463,360],[17,417],[17,278],[17,131],[17,360]]",90,TRUE
01JHRSCZM6CRT2MRYZACMJARFD,TRUE,01JHRRNGG8Q3DJPC96ATPSFZ19,51,65,3,/tangrams/463_278.png,/tangrams/463_278.png,4,51,"[""/tangrams/140_360.png"",""/tangrams/162_131.png"",""/tangrams/463_278.png"",""/tangrams/17_417.png""]",comp-between,TRUE,01JHRRTZGC78GB9ZRD0ZQ2R0DF,Across Trial,z bottom,2,8,2,01JHRRNG6B3GT21XEE5NYSMEJ0,4,ended,"[[140,417],[140,278],[140,131],[140,360],[162,417],[162,278],[162,131],[162,360],[463,417],[463,278],[463,131],[463,360],[17,417],[17,278],[17,131],[17,360]]",90,TRUE
01JHRSD003C7ZQ3JRPX00MRS7E,TRUE,01JHRRNGG8Q3DJPC96ATPSFZ19,53,65,3,/tangrams/140_360.png,/tangrams/140_360.png,6,53,"[""/tangrams/140_360.png"",""/tangrams/17_417.png"",""/tangrams/463_131.png"",""/tangrams/162_278.png""]",comp-between,TRUE,01JHRRTZGC78GB9ZRD0ZQ2R0DF,Across Trial,hands in air hook bottom,5,24,2,01JHRRNG6B3GT21XEE5NYSMEJ0,4,ended,"[[140,417],[140,278],[140,131],[140,360],[162,417],[162,278],[162,131],[162,360],[463,417],[463,278],[463,131],[463,360],[17,417],[17,278],[17,131],[17,360]]",90,TRUE
01JHRSD0SNR0MGDCT3GEWK45A4,TRUE,01JHRRNGG8Q3DJPC96ATPSFZ19,62,65,3,/tangrams/17_360.png,/tangrams/17_360.png,15,62,"[""/tangrams/162_131.png"",""/tangrams/140_417.png"",""/tangrams/17_360.png"",""/tangrams/463_278.png""]",comp-between,TRUE,01JHRRV8PYWS1Z7KE8QS54BJ2B,Across Trial,C right,2,7,2,01JHRRNG6B3GT21XEE5NYSMEJ0,4,ended,"[[140,417],[140,278],[140,131],[140,360],[162,417],[162,278],[162,131],[162,360],[463,417],[463,278],[463,131],[463,360],[17,417],[17,278],[17,131],[17,360]]",90,TRUE
01JHRSCZQ5ZCWQ1PJR996ZZ2ZM,TRUE,01JHRRNGG8Q3DJPC96ATPSFZ19,50,65,3,/tangrams/140_131.png,/tangrams/140_131.png,3,50,"[""/tangrams/463_417.png"",""/tangrams/17_360.png"",""/tangrams/140_131.png"",""/tangrams/162_278.png""]",comp-between,TRUE,01JHRRV8PYWS1Z7KE8QS54BJ2B,Across Trial,light switch,2,12,2,01JHRRNG6B3GT21XEE5NYSMEJ0,4,ended,"[[140,417],[140,278],[140,131],[140,360],[162,417],[162,278],[162,131],[162,360],[463,417],[463,278],[463,131],[463,360],[17,417],[17,278],[17,131],[17,360]]",90,TRUE
01JHRSD0CXZMCTFCE9JTBGY3JH,TRUE,01JHRRNGG8Q3DJPC96ATPSFZ19,59,65,3,/tangrams/463_417.png,/tangrams/463_417.png,12,59,"[""/tangrams/162_360.png"",""/tangrams/17_131.png"",""/tangrams/140_278.png"",""/tangrams/463_417.png""]",comp-between,TRUE,01JHRRTZGC78GB9ZRD0ZQ2R0DF,Across Trial,z bottom,2,8,2,01JHRRNG6B3GT21XEE5NYSMEJ0,4,ended,"[[140,417],[140,278],[140,131],[140,360],[162,417],[162,278],[162,131],[162,360],[463,417],[463,278],[463,131],[463,360],[17,417],[17,278],[17,131],[17,360]]",90,TRUE
