roundID,gameID,phase,trialNum,repNum,targetNum,numTrials,numTrialsPerBlock,setId,target,targetLabel,tangramURLs,displayLabels,response,correct,selection,director,matcher,selectionMadeAt,clickBlockedAt,block
01M1PW3H1BVH859CH4F13X5GKE,01M1PVPVN58XQ8WD43NR9G03HY,training,7,0,8,48,12,6,/tangrams/81_324.png,B3,"[""/tangrams/275_324.png"",""/tangrams/445_264.png"",""/tangrams/81_153.png"",""/tangrams/81_324.png""]","[""A3"",""D1"",""B4"",""B3""]",NA,NA,NA,NA,NA,NA,NA,1
01M1PW3TE4H097H4QPNJZ6PWPG,01M1PVPVN19AKJQXAJWG447XT1,training,27,2,4,48,12,6,/tangrams/81_153.png,B4,"[""/tangrams/275_437.png"",""/tangrams/4_264.png"",""/tangrams/445_324.png"",""/tangrams/81_153.png""]","[""A2"",""C1"",""D3"",""B4""]",/tangrams/81_153.png,TRUE,/tangrams/81_153.png,01M1PVV4T08CWVFCAHVD9FMRR2,01M1PVVZD69SDYBBAB5MDTZSCB,1788549502233,NA,3
01M1PW7ETRJM25XHP1ZNEGJ02T,01M1PVPWZ7KQZN2DHXW0TTKG9P,training,29,2,6,48,12,7,/tangrams/35_447.png,F8,"[""/tangrams/241_420.png"",""/tangrams/35_447.png"",""/tangrams/303_311.png"",""/tangrams/391_404.png""]","[""F2"",""F8"",""B2"",""F5""]",/tangrams/35_447.png,TRUE,/tangrams/35_447.png,01M1PVVTM3JYE18KKXW2DCV15S,01M1PVZ3NBFP4RQAMM34F5EPHD,1788549826038,NA,3
01M1PW7EW0F2MVGTE85DBN23VZ,01M1PVPWZ7KQZN2DHXW0TTKG9P,training,24,2,1,48,12,7,/tangrams/391_404.png,F5,"[""/tangrams/51_378.png"",""/tangrams/391_404.png"",""/tangrams/303_311.png"",""/tangrams/178_230.png""]","[""F4"",""F5"",""B2"",""F3""]",/tangrams/391_404.png,TRUE,/tangrams/391_404.png,01M1PVZ3NBFP4RQAMM34F5EPHD,01M1PVVTM3JYE18KKXW2DCV15S,1788549608123,NA,3
01M1PWEJ7VF7Z534GJ53K731V3,01M1PVPXF92SZVFC9KBGN1TRXM,training,7,0,8,48,12,7,/tangrams/6_304.png,D3,"[""/tangrams/6_304.png"",""/tangrams/183_302.png"",""/tangrams/6_311.png"",""/tangrams/245_304.png""]","[""D3"",""C4"",""D2"",""A3""]",/tangrams/245_304.png,FALSE,/tangrams/245_304.png,01M1PVVCHSJDKDCMNAX28C9KTM,01M1PVZYRHDVK94JBPD96A2FVY,1788549229053,NA,1
01M1PWJSJBPSCE0694GPAPVE3G,01M1PVPY05YMN5QBCZG3YB2C9A,training,21,1,10,48,12,8,/tangrams/353_235.png,B3,"[""/tangrams/265_444.png"",""/tangrams/368_219.png"",""/tangrams/192_436.png"",""/tangrams/353_235.png""]","[""C4"",""A2"",""D1"",""B3""]",NA,NA,NA,NA,NA,NA,NA,2
01M1PW41J09XQVVRHEEKJYC3DA,01M1PVPTMYJEMSH2D4PPK54AQC,training,43,3,8,48,12,5,/tangrams/14_38.png,B2,"[""/tangrams/386_283.png"",""/tangrams/14_38.png"",""/tangrams/391_126.png"",""/tangrams/231_230.png""]","[""F2"",""B2"",""F8"",""F7""]",/tangrams/14_38.png,TRUE,/tangrams/14_38.png,01M1PVV1FSQ931Q08DC040FF4H,01M1PVXZCG5HBAN48J4YM7CT4J,1788549666935,NA,4
01M1PWG1EDNGZSPH6YM5M2AMGN,01M1PVPY02TEGASTZW7B0B44PE,training,19,1,8,48,12,8,/tangrams/265_436.png,C1,"[""/tangrams/265_219.png"",""/tangrams/265_436.png"",""/tangrams/192_436.png"",""/tangrams/368_444.png""]","[""C2"",""C1"",""D1"",""A4""]",/tangrams/265_436.png,TRUE,/tangrams/265_436.png,01M1PW1KKGDQJPNSP87YDPE8Y2,01M1PWAKPMFG2PF8ZD5WBT5ANA,1788550802962,NA,2
01M1PW50ZC0V48Y042F1REB5MV,01M1PVPVN43CJ2ZQS2FA0GJ1TX,training,4,0,5,48,12,6,/tangrams/399_84.png,F2,"[""/tangrams/204_449.png"",""/tangrams/4_324.png"",""/tangrams/399_84.png"",""/tangrams/70_426.png""]","[""F8"",""C3"",""F2"",""F3""]",/tangrams/399_84.png,TRUE,/tangrams/399_84.png,01M1PVW97TC4GVFYDVFB1SJ9WH,01M1PVW5BM9J57HJX5KJ260RG3,1788548449176,NA,1
01M1PW51661HBKZF613B3E0WNK,01M1PVPVN43CJ2ZQS2FA0GJ1TX,training,21,1,10,48,12,6,/tangrams/134_305.png,F5,"[""/tangrams/81_437.png"",""/tangrams/4_324.png"",""/tangrams/204_449.png"",""/tangrams/134_305.png""]","[""B2"",""C3"",""F8"",""F5""]",/tangrams/134_305.png,TRUE,/tangrams/134_305.png,01M1PVW5BM9J57HJX5KJ260RG3,01M1PVW97TC4GVFYDVFB1SJ9WH,1788549159893,NA,2
01M1PWEJS832R4SAG0GCNBTBCB,01M1PVPXF92SZVFC9KBGN1TRXM,training,39,3,4,48,12,7,/tangrams/245_311.png,A2,"[""/tangrams/245_302.png"",""/tangrams/245_311.png"",""/tangrams/183_311.png"",""/tangrams/6_304.png""]","[""A4"",""A2"",""C2"",""D3""]",/tangrams/245_311.png,TRUE,/tangrams/245_311.png,01M1PVVCHSJDKDCMNAX28C9KTM,01M1PVZYRHDVK94JBPD96A2FVY,1788550397068,NA,4
01M1PW1ZH7A88RDWJS42GAGSAN,01M1PVPTMX8QBBEQ1CAWS8Y65C,training,3,0,4,48,12,5,/tangrams/154_38.png,A2,"[""/tangrams/60_38.png"",""/tangrams/154_248.png"",""/tangrams/14_24.png"",""/tangrams/154_38.png""]","[""C2"",""A3"",""B4"",""A2""]",/tangrams/154_38.png,TRUE,/tangrams/154_38.png,01M1PVVDJXTQ0S1H8V336MES03,01M1PVVEHT22G3NCF8EGPQWRYM,1788548968012,NA,1
01M1PW2VR2BZ9SHHY290MRBQZ4,01M1PVPTMT2TF5TMW6DY08RG1A,training,19,1,8,48,12,5,/tangrams/235_38.png,D2,"[""/tangrams/235_38.png"",""/tangrams/14_248.png"",""/tangrams/60_127.png"",""/tangrams/154_24.png""]","[""D2"",""B3"",""C1"",""A4""]",/tangrams/235_38.png,TRUE,/tangrams/235_38.png,01M1PVVTHSCRB56WAFX0KRCSX2,01M1PVVYCG3ZV9Y0QVDS434K08,1788549466246,NA,2
01M1PW3TJFTB00WNGFTA61GQZE,01M1PVPVN19AKJQXAJWG447XT1,training,44,3,9,48,12,6,/tangrams/445_264.png,D1,"[""/tangrams/275_324.png"",""/tangrams/445_264.png"",""/tangrams/81_153.png"",""/tangrams/4_437.png""]","[""A3"",""D1"",""B4"",""C2""]",/tangrams/445_264.png,TRUE,/tangrams/445_264.png,01M1PVVZD69SDYBBAB5MDTZSCB,01M1PVV4T08CWVFCAHVD9FMRR2,1788549785346,NA,4
