playerID,prolificID,bonus,exitStepDone,gameID,status,age,gender,strategy,enjoy,feedback,education
01JFTQ3H81M8H622YGKR8RPTAF,67430d339fd5fe9de0d9e23b,NA,NA,null,NA,NA,NA,NA,NA,NA,NA
01JFTQ6GDHAQ2JF38AAKD89JPQ,67583475b36f2453011e3a7e,NA,TRUE,01JFTQDY3Y2RECY99FWNKPQ5GD,gameFailed,NA,NA,NA,NA,NA,NA
01JFTQ7DE414MCRH72YDY9YWGX,671ba92d1a40ca69431d6e07,0.3,TRUE,01JFTQCWETJ81EPRJHTFGJ2WYS,NA,29,male,exceptional,yes provided more detailed responses,N/A,master
01JFTQ886G5ME90NNRKB1PKYPX,67684dd84deabe73a9da9353,NA,TRUE,null,gameFailed,NA,NA,NA,NA,NA,NA
01JFTQ1ZR7DTW65P1ZS41Y9B69,611138062881f502878eaa1f,NA,TRUE,01JFTQDY3Y2RECY99FWNKPQ5GD,gameFailed,NA,NA,NA,NA,NA,NA
01JFTQ5J093Q32KZCFVPE7CCJ4,673782343ca7d61fde998d7f,NA,TRUE,01JFTQDY3Y2RECY99FWNKPQ5GD,gameFailed,NA,NA,NA,NA,NA,NA
01JFTQ6PBWTNSTVAYNCQHHBWHX,5fca7edb9b31046cb10faf3a,NA,NA,null,NA,NA,NA,NA,NA,NA,NA
01JFTQ9C11BBSEJNFYN6XKRFJT,671d1095309d40296a74ca,NA,NA,01JFTQDY3Y2RECY99FWNKPQ5GD,NA,NA,NA,NA,NA,NA,NA
01JFTQBN88VPJ7V0XQPR2T3WAE,67312ce7cb2de5b3ed205000,0.3,TRUE,01JFTQCWETJ81EPRJHTFGJ2WYS,NA,31,Male,"I was initially describing what I thought the object looked like, but then quickly changed to describing it's features (number of point etc)","My Partner disconnected, but I'd had a neutral experience. At times it felt like the partner was impatient",Partner disconnected.,master
01JFTQHQTJ095F211DSFF3FRVJ,663a423475ef283bc64f2757,NA,TRUE,null,gameFailed,NA,NA,NA,NA,NA,NA
01JFTPJF1S6THYNM3C98FRXENH,66706c66421d9d62312ca575,NA,NA,null,NA,NA,NA,NA,NA,NA,NA
01JFTQ3EPCWFQS13NYCGJBHMK1,671d10953094bd40296a74ca,NA,TRUE,01JFTQDY3XFB5TXP5H7T6HRP4Y,gameFailed,NA,NA,NA,NA,NA,NA
01JFTQ58MH5A5JYFCJPW53K069,673b48e5351c5c8cddfab1a4,NA,NA,01JFTQDY3Y2RECY99FWNKPQ5GD,NA,NA,NA,NA,NA,NA,NA
01JFTQ6XESJPZGYVZNMKXM671Q,6768174cb5372805a9beef03,NA,NA,01JFTQDY3XFB5TXP5H7T6HRP4Y,NA,NA,NA,NA,NA,NA,NA
01JFTQBKEAQS4MY2SJD97PSZJV,61464fe94ab78bd0f17d0dc0,1.71,TRUE,01JFTQCWEVJMRJ7X1FGENJ4774,NA,32,female,repeating known match phrases,yes! it was fun!,n/a,high-school
01JFTQJEM7NRXSQ1DKZTDK4ZE6,66b0cf98fcee7427e81a42c1,NA,TRUE,null,gameFailed,NA,NA,NA,NA,NA,NA
01JFTQ12WFXJW4VSQP5C9XATH6,65a363d4ce498ce15c32367c,NA,NA,null,NA,NA,NA,NA,NA,NA,NA
01JFTQ6AKQHZBEKV03BY9W3067,5973c67b5eccd900013a7f8b,1.71,TRUE,01JFTQCWEVJMRJ7X1FGENJ4774,NA,45,Female,Looking for a real life object that the picture resembled.,"I really enjoyed it and once we'd completed a few rounds, it was easier to say what it was as we'd previously described it so could just put one or two words instead of a full sentence.",,bachelor
