roundID,gameID,trialNum,playerID,text,director_msg
01M0VCJ2PBK4AC74S3BSY74ANJ,01M0VCG4YJ3SSHK6866WMH2XYH,0,01M0VCHMX1KP6K8WD30254ZST2,okay,TRUE
01M0VCJ2PBK4AC74S3BSY74ANJ,01M0VCG4YJ3SSHK6866WMH2XYH,0,01M0VCHMX1KP6K8WD30254ZST2,sewnding some messages,TRUE
01M0VCJ2PBK4AC74S3BSY74ANJ,01M0VCG4YJ3SSHK6866WMH2XYH,0,01M0VCHMX1KP6K8WD30254ZST2,as the director,TRUE
01M0VCJ2PBK4AC74S3BSY74ANJ,01M0VCG4YJ3SSHK6866WMH2XYH,0,01M0VCG9G1HPRDKK775CBP8VAV,sending one as listenier,FALSE
01M0VCJ2PBK4AC74S3BSY74ANJ,01M0VCG4YJ3SSHK6866WMH2XYH,0,01M0VCG9G1HPRDKK775CBP8VAV,just to see if its working,FALSE
01M0VCJ2QHWWRPRN6AZB2TSKPJ,01M0VCG4YJ3SSHK6866WMH2XYH,2,01M0VCHMX1KP6K8WD30254ZST2,okay now it should reset,TRUE
01M0VCJ2QHWWRPRN6AZB2TSKPJ,01M0VCG4YJ3SSHK6866WMH2XYH,2,01M0VCG9G1HPRDKK775CBP8VAV,if i also say something,FALSE
01M0VCJ2PAN9KQDZ9A6S6HTZDK,01M0VCG4YJ3SSHK6866WMH2XYH,1,01M0VCHMX1KP6K8WD30254ZST2,okay now only ill send,FALSE
01M0VCJ2PAN9KQDZ9A6S6HTZDK,01M0VCG4YJ3SSHK6866WMH2XYH,1,01M0VCHMX1KP6K8WD30254ZST2,i shoul be active,FALSE
01M0VCJ2QD2PZPT37ESE95MG4R,01M0VCG4YJ3SSHK6866WMH2XYH,4,01M0VCG9G1HPRDKK775CBP8VAV,that looks good,FALSE
01M0VCJ2QD2PZPT37ESE95MG4R,01M0VCG4YJ3SSHK6866WMH2XYH,4,01M0VCG9G1HPRDKK775CBP8VAV,lets test the game ending code,FALSE
01M0VCJ2QFT0P7C2N2A35WA31P,01M0VCG4YJ3SSHK6866WMH2XYH,3,01M0VCG9G1HPRDKK775CBP8VAV,and what if they only match,TRUE
