prolificID,amount,group,action,minutes,pretest,posttest,category,already_paid,contextStructure,gameID
6630f2a2c5912d7f4d93938b,0,abandoned,no payment -- left during the quiz,15.9,0,0,none,FALSE,NA,01M0XF36KWD2V63CQAR2NCREVC
6a1759a83da9f4ed875b332d,1.32,data,approve ($11.00) + bonus,78.9,20,20,bonus,TRUE,comp-between,01M0XF36KPEANMAA2FHR330CGB
66929a6a268ccf0d6fce0d52,0.99,data,approve ($11.00) + bonus,74.2,20,20,bonus,TRUE,comp-within,01M0XEBKS0ZEFNX9SMQDQW2PZ4
67ddbba0fa5e1ce984f9fb87,1.05,data,approve ($11.00) + bonus,73.1,20,20,bonus,TRUE,comp-within,01M0XEBHFAZN8J8K9QJ4PMADCV
6a1692f9cd2b008d1f661d7e,1.32,data,approve ($11.00) + bonus,66.4,20,20,bonus,TRUE,comp-between,01M0XF36KPEANMAA2FHR330CGB
5c97e0fdf74b3500152c1608,1.05,data,approve ($11.00) + bonus,65.6,20,20,bonus,TRUE,comp-within,01M0XEBHFAZN8J8K9QJ4PMADCV
63d7b1a77e23b5460ab88069,0.99,data,approve ($11.00) + bonus,63.7,20,20,bonus,TRUE,comp-within,01M0XEBKS0ZEFNX9SMQDQW2PZ4
69e544b78967c6b1c14d2035@email.prolific.com,1.2,data,approve ($11.00) + bonus,55.5,8,20,bonus,TRUE,noncomp,01M0XEP3TXK5Z02SVJR2VASG8P
67803b5508f3d995ef13696b,0.96,data,approve ($11.00) + bonus,55.1,20,20,bonus,TRUE,comp-between,01M0XEP3TSE5MTCHYTC004C3XD
6328ddce9adceb215c2334ee,1.29,data,approve ($11.00) + bonus,54.3,20,20,bonus,TRUE,comp-between,01M0XEBHFGJ74MNH9PTVJNK0S2
6a06233ac83a1d709b365e59,1.23,data,approve ($11.00) + bonus,50.5,20,20,bonus,TRUE,comp-within,01M0XEP3V3T2RJX1S58T7Z1N3B
6a1b5c3118af715c312efcc9,1.23,data,approve ($11.00) + bonus,48.9,20,20,bonus,TRUE,comp-within,01M0XEP3V3T2RJX1S58T7Z1N3B
6156fef09d1ab07148870099,1.29,data,approve ($11.00) + bonus,46.8,20,20,bonus,TRUE,comp-between,01M0XEBHFGJ74MNH9PTVJNK0S2
6a1cc036937e109155f17cb1,0.96,data,approve ($11.00) + bonus,46.3,20,20,bonus,TRUE,comp-between,01M0XEP3TSE5MTCHYTC004C3XD
