roundID,gameID,trialNum,playerID,text,director_msg
01M20YD60Y1HMSHTYN5JBH5N7H,01M20WZK57NAX0A8X7B3WNHQN9,30,01M20Y7KTG16QCRZCK67K4YDTR,"diamond on bottom, shapes split with tiny gap",TRUE
01M215GG36GZCGBD687R54GYD9,01M20X14TPRK3E5KMRXWZZW19Q,19,01M214B7NK5TMY7WTYY3DVP911,rectangle white space missing,TRUE
01M215Z27GJVMGMQWEZ46XXKTK,01M20X14TTKZWGB70XGMAFRR2H,2,01M215FK0ZT4PGXXVV13WRHJPB,At the top is a rectangle like structure and has 2 projections on left and right,TRUE
01M214K25WQ7RF53J9Q3F609WH,01M20X11N5A2NXXZZPJ1AXFSW6,21,01M214DGSKEJ8ZAHQ4WC2E0G7N,"a squashed flag shape on the left, next to a backwards squashed c",TRUE
01M215348GMT64BWM4375K8V78,01M20X13PNQ3DCXFM6ND825C25,3,01M214JN3YRRY4RAVQ10A1MK5E,house,TRUE
01M215HJ5B6JHSY0DW3YFTK8SW,01M20X148Y8KBRQFNJT9HAMJT5,23,01M214DZ3N8JPJ1Z6KSP8PYNZQ,M snake,TRUE
01M20XZDABVCQNXB0BZFCK6AG6,01M20WZK596SFHM9YDB6TD7NK1,11,01M20X6CEXP7W9NTPEWK7QNX8Z,"large middle, triangles on top and large leg triangles on bottem",TRUE
01M20YKRZSNNTYN7SVK650E64T,01M20WZK5AY7SPG9YB2GY60XCH,3,01M20YD36D9GBWB9F2CSWYDDZG,An upside-down triangle on top of a rectangle attached to four sideways triangles.,TRUE
01M215B0Y8TF6X05M1B527CR6W,01M20X13PPQ56SF2D1TXYZ1GT1,17,01M21549E1T7PGG1H0FCWWP74Z,"Upside down triangle on top, bottom right is folded",TRUE
01M215BM38NZMVBE47RMDND84B,01M20X148Y8KBRQFNJTS9AKRW4,10,01M2154JXMHS9BTWF8FWDE7774,"Three shapes again. Pac Man, frisbee middle, hourglass shape right.",TRUE
01M215BM8ZC1V9T3T1KEB9BKN8,01M20X148Y8KBRQFNJTS9AKRW4,43,01M21546HN9E95PWNR6ZWTAMM2,rectangle hole bottom left - square right,TRUE
01M215GGK7GWDRSGRKZWFW1SB9,01M20X14TPRK3E5KMRXWZZW19Q,44,01M214C4QNBNJ9JQSE7YJ5TDCV,crown on a stand,TRUE
01M215HHRV1WD7HW4N340FG8SE,01M20X148Y8KBRQFNJT9HAMJT5,29,01M214DZ3N8JPJ1Z6KSP8PYNZQ,"bow tie, two triangles, legs (snake)",TRUE
01M215HHRV1WD7HW4N340FG8SE,01M20X148Y8KBRQFNJT9HAMJT5,29,01M214DZ3N8JPJ1Z6KSP8PYNZQ,nmotg a t,TRUE
01M215HHRV1WD7HW4N340FG8SE,01M20X148Y8KBRQFNJT9HAMJT5,29,01M214DZ3N8JPJ1Z6KSP8PYNZQ,not a t,TRUE
01M215HJ86MFJ028DRVWEW6ZVM,01M20X148Y8KBRQFNJT9HAMJT5,20,01M214DZ3N8JPJ1Z6KSP8PYNZQ,h,FALSE
01M215HJ86MFJ028DRVWEW6ZVM,01M20X148Y8KBRQFNJT9HAMJT5,20,01M214PMGV2W0E0MG6FCTN05EB,rocket up,TRUE
01M214K20JTA17S583V0K9EYVT,01M20X11N5A2NXXZZPJ1AXFSW6,43,01M214DGSKEJ8ZAHQ4WC2E0G7N,letter M,TRUE
01M214K22XDGG8M55J37WR0DWB,01M20X11N5A2NXXZZPJ1AXFSW6,36,01M214ERNYBYY3EBY90CCRQDQJ,scorpion tail,TRUE
