playerID,prolificID,bonus,exitStepDone,gameID,age,gender,strategy,enjoy,feedback,education
01J1QP7XZ1XMFRVJA0S6QFSRVV,649c2f4f97c521d83289c1d1,1.86,TRUE,01J1QNE12S0A8AFYPZ0YNZWKYZ,22,male,"we assigned adjectives to the few defining parts, and split our answers up into two parts. the top characteristic and the bottom characteristic, so our answers followed the same format. it took us till the 3rd one to get the strategy down, but it worked well. all our answers looked like ""flat top, triangle bottom"", or ""castle with missing corner"". very few words did the trick!","yeah, they were efficient and we worked well together","sometimes the program was a little slow, so the timer would stop going but nothing would change, or i would have to click the image 10+ times to get it to register. little stressful when there's a timer, but otherwise, no issues.",high-school
01J1QS2T79CX7Q4KSCZMQZWDBM,667ede719ca58c270024e693,NA,NA,null,NA,NA,NA,NA,NA,NA
01J1QNZ0DKKHXW52G0NBBS75Y0,610357fb634fab7807e782e3,1.83,TRUE,01J1QNE12VV9T74DS9BE310JQ7,28,Female,Trying to find the easiest animal or object to use as reference for the shape. ,Yes! We got the hang of it quickly and eventually were able to use shorter descriptions as the game went on. ,None. It was actually fun. ,other
01J1QPS857DFX9S2DEB32HCZCV,663bb62ffe083ca847014fbb,1.89,TRUE,01J1QNE6KNDHKGTDVN9VP8XKVM,28,male,learn code words for shapes ,"Yes, we were able to establish some code words",no problems. thank you.,master
01J1QPTD7F4224XY61PC3JM6BF,607226ef2df05dd596a390f2,1.92,TRUE,01J1QNE39Q81W3DCXXJZ95X0QX,42,female,used the same descriptions that partner used when we were successful,"yes, they were fast and pleasant",,other
01J1QQKAWCNC6D92WMQZWJ0Q2K,667d9ef19b2fb2a4f47cd871,1.77,TRUE,01J1QNE6KNDHKGTDVN9A5ABN3E,32,Male,"Use shapes, how simple they were, and what they resembled","Yes, we got an understanding of how to describe things early.","Halfway through, I lost connection to my partner",other
01J1QPMY2ZFVFB9RHCKG4TKJ89,5bbb4729b865300001677a09,1.89,TRUE,01J1QNE39PJ7B8A0REVHZR1A7K,34,Male,find the silhouette of something that could be a common reference point and build from there,"yeah, it was a lot of fun, finding out shorthand ways to describe the silhouette and seeing how they viewed the images.",one of the matching images seemed to pause and not register my click for a while.,other
01J1QQ1484JXPJV4A4KFQMVC0S,5ee44df5a493ae14ce39c8de,1.89,TRUE,01J1QNE6KPS5SV4KX4GKK5GM7S,25,Male,Code names for tangrams ,yes good communication ,Some delay but everything worked ,bachelor
01J1QQ1BM5RG1ZHZBXSMZZ8JT3,6682d52d4c208013772bb9c7,1.89,TRUE,01J1QNE6KPS5SV4KX4GKK5GM7S,21,Male,"Our strategy used distinctive shapes from the four images (ie. 3 spikes, flower, vase, bottom right, etc) as well as use of color (white triangle).","Yes, was quick, not complicated. Enjoyed finding the improved rhythm. By the 3rd round, each section went be very quickly. No issues encountered with the partner, really easy communication and was pretty fun.","There was slight lag encountered on a couple rounds. Took a little longer to load the next set of images once, and once took a bit longer to register selection. Otherwise smooth.",bachelor
01J1QR0NNX3XKTWMQVWJ9M6XEV,66797c27cb08f09e93d5c8e4,1.86,TRUE,01J1QNEE1QGJVSMNPAJZ8D88KJ,25,Female,"Find the shortest way to describe common traits I saw and then stick to those throughout (ex. Castle top, 3 triangles etc).","I did! It was fun learning to communicate and seeing how they viewed the objects. For example they put human for one of them which I had a hard time deciding what that would be, and it helped a lot.",Only once it lagged for the matcher to click but then it refreshed itself and was fine.,master
