prolificID,bonus
649c2f4f97c521d83289c1d1,1.86
610357fb634fab7807e782e3,1.83
663bb62ffe083ca847014fbb,1.89
607226ef2df05dd596a390f2,1.92
667d9ef19b2fb2a4f47cd871,1.77
5bbb4729b865300001677a09,1.89
5ee44df5a493ae14ce39c8de,1.89
6682d52d4c208013772bb9c7,1.89
66797c27cb08f09e93d5c8e4,1.86
667c1131e863ecb7d4f04aed,1.74
5dccf99db9d9049777368b3b,1.74
614dd1ef0425aaf131393cc9,1.92
6676d23acab73bd29991da02,1.92
5cf272137e2e1400157f2b3b,1.89
5c608e91001e34000145185a,1.77
6605ad684ded7efc005156ed,1.89
634d7250a9dbe47b2b1d110f,1.92
60fdc9ea6c9109303a1472d0,1.89
659c85609b85d977885fb695,1.86
5eadf7371f8db74abecd535f,1.89
5c34f3081cd88200016aa63c,1.86
5ca547affeacc80001349e01,1.83
