roundID,gameID,trialNum,playerID,text,director_msg
01M0TTK10DESAY0F2DG5BPD9GH,01M0TSZEY54T11A9AMGVA6T4ZB,1,01M0TT7ZVRQQW92P55GPN9KMMS,hi,FALSE
01M0TTK10DESAY0F2DG5BPD9GH,01M0TSZEY54T11A9AMGVA6T4ZB,1,01M0TT7FNH08P86PFHWCV3NRS8,house with the triangle and dimond hanging under it,TRUE
01M0TTKMTB2BD5FYABW27NRN6H,01M0TSZEY173D8F3KEP071GR06,9,01M0TT55D1DRDQ3JPT1CDTT5VN,DIAMOND HEAD ON TOP,TRUE
01M0TTKMZ7SV3M807NSRGTM6WH,01M0TSZEY173D8F3KEP071GR06,28,01M0TTF3ADJ36CYQBD8356XFNQ,running legs,TRUE
01M0TTK10N5BD0SS5DA63HF9K7,01M0TSZEY54T11A9AMGVA6T4ZB,5,01M0TT7FNH08P86PFHWCV3NRS8,running guy arms upp no cutouts,TRUE
01M0TTK16981VYRXVWJ54TEAB8,01M0TSZEY54T11A9AMGVA6T4ZB,34,01M0TT7ZVRQQW92P55GPN9KMMS,diamomd ontop triangle cutout bottom,TRUE
01M0TTK16981VYRXVWJ54TEAB8,01M0TSZEY54T11A9AMGVA6T4ZB,34,01M0TT7FNH08P86PFHWCV3NRS8,anyything below,FALSE
01M0TTYQ0CMGYVGRETB27VW2NK,01M0TTMWMDPGAHQRDA7BZJ8FEZ,10,01M0TTENRE0ZSC234N2S1BW8ZS,?,FALSE
01M0TTYQ0CMGYVGRETB27VW2NK,01M0TTMWMDPGAHQRDA7BZJ8FEZ,10,01M0TTJT0T1FXWVGTP027BYENQ,sharp edge,TRUE
01M0TTYQ0CMGYVGRETB27VW2NK,01M0TTMWMDPGAHQRDA7BZJ8FEZ,10,01M0TTENRE0ZSC234N2S1BW8ZS,Three rings ?,FALSE
01M0TTYQ0CMGYVGRETB27VW2NK,01M0TTMWMDPGAHQRDA7BZJ8FEZ,10,01M0TTJT0T1FXWVGTP027BYENQ,arrow like,TRUE
01M0TTYQ0CMGYVGRETB27VW2NK,01M0TTMWMDPGAHQRDA7BZJ8FEZ,10,01M0TTJT0T1FXWVGTP027BYENQ,yes,TRUE
01M0TTYQK1XWXZYF3X97RPEM2C,01M0TTMWMDPGAHQRDA7BZJ8FEZ,18,01M0TTENRE0ZSC234N2S1BW8ZS,?,FALSE
01M0TTYQK1XWXZYF3X97RPEM2C,01M0TTMWMDPGAHQRDA7BZJ8FEZ,18,01M0TTENRE0ZSC234N2S1BW8ZS,?,FALSE
