roundID,text,playerID,director_msg,chit_chat
01JH1S9WN0BS2P6KMBDV5K7K0D,3,01JH1RZ5T3TMN6YYJAWNQBQKDZ,TRUE,FALSE
01JH1S9WMABGRP8X3GXTQM1X0Q,3,01JH1RZ5T3TMN6YYJAWNQBQKDZ,TRUE,FALSE
01JH1S9WNRT22D64WJYF7GJNHB,3 arrow,01JH1RYS7YE3EGV2KWJZVF22GA,TRUE,FALSE
01JH1S9WJXMYHFDYEFZC6BN0H3,3 backwards,01JH1RYS7YE3EGV2KWJZVF22GA,TRUE,FALSE
01JH1S9WKWZRDAQR1S68TCPJNR,3 backwards,01JH1RZ5T3TMN6YYJAWNQBQKDZ,TRUE,FALSE
01JH1S9WKZZ4T47EN1ME6M57WA,3 backwards,01JH1RYS7YE3EGV2KWJZVF22GA,TRUE,FALSE
01JH1S9WNCY6Y5TWTEN7VJP4SP,3 horse,01JH1RYS7YE3EGV2KWJZVF22GA,TRUE,FALSE
01JH1S9WN8RNPCG6KHWRAMPXKN,3 on horse,01JH1RYS7YE3EGV2KWJZVF22GA,TRUE,FALSE
01JH1WYDY5P7NKFGR4MCGDQ3D3,I meant to say facing right. SORRY,01JH1WP8T8D8942KJP7939E0QY,FALSE,FALSE
01JH1X4301NMT619678CZ5SVDZ,go ahead,01JH1WQ89WAW76SBJ8QEW6ARRB,FALSE,FALSE
01JH1S9WMDWYTB5R8EBV44TP2M,3 on horse,01JH1RYS7YE3EGV2KWJZVF22GA,TRUE,FALSE
01JH1S9WNBBDFJ45WV4BY0SFFV,3 on legs,01JH1RYS7YE3EGV2KWJZVF22GA,TRUE,FALSE
01JH1S9WN3GE3Y2GJ0NEV70G8C,3 on legs,01JH1RYS7YE3EGV2KWJZVF22GA,TRUE,FALSE
01JH1S9WN5MW82XQ3ZH1C14ZS3,3 with arrow body,01JH1RYS7YE3EGV2KWJZVF22GA,TRUE,FALSE
01JH1TYFMB3BYCH50NHSY2HHCM,the ears dont have hat?,01JH1TP13P9NGTFRTZAQXW7JAK,FALSE,FALSE
01JH1TYFMB3BYCH50NHSY2HHCM,traingle on top??,01JH1TP13P9NGTFRTZAQXW7JAK,FALSE,FALSE
01JH1S9WN3GE3Y2GJ0P4SF80DN,3 with cape,01JH1RZ5T3TMN6YYJAWNQBQKDZ,TRUE,FALSE
01JH1S9WNAJBZV3WD3JN9A7852,3 with cape,01JH1RZ5T3TMN6YYJAWNQBQKDZ,TRUE,FALSE
01JH1WYE409K833R0MFTJC9N1A,"5 spikes with a diamond on the left, looks like a dog",01JH1WP8T8D8942KJP7939E0QY,TRUE,FALSE
01JH1TYFNVKSX0FYZ5W4JT340A,??,01JH1TR8ECRZPYVP7GM68GA1TB,FALSE,FALSE
01JH1WNB2PZ4YTYYPC8A8YTGCZ,a cown,01JH1WAEZM854CNSRP24H6G2ZB,TRUE,FALSE
01JH1WNB3ES61GJS9J2T6Y0JTD,a cross,01JH1WAEZM854CNSRP24H6G2ZB,TRUE,FALSE
01JH1WNB0X1HAWAP30KHDBZZQK,a cross,01JH1WAEZM854CNSRP24H6G2ZB,TRUE,FALSE
01JH1WNB1Z5DMXWYXW2FP782YT,a cross at the end,01JH1WAEZM854CNSRP24H6G2ZB,TRUE,FALSE
01JH1WNB582JBK83GCBTDD7EDH,a cross on it,01JH1WAEZM854CNSRP24H6G2ZB,TRUE,FALSE
01JH1WNB55SZTPP0Q5NR876ZPR,a cross on the end,01JH1WAEZM854CNSRP24H6G2ZB,TRUE,FALSE
01JH1WNB316K1EN9WZJKD2PPMQ,a crown at the end,01JH1W9R4RQVGYZCTNV1WEHEVB,TRUE,FALSE
01JH1WNB0TP1ADXR92Z0A1S1B2,a crown on this one,01JH1WAEZM854CNSRP24H6G2ZB,TRUE,FALSE
01JH1TYFPXX0CGKVJACHQ30W1G,??\,01JH1TR8ECRZPYVP7GM68GA1TB,FALSE,FALSE
