playerID,prolificID,bonus,exitStepDone,gameID,age,gender,strategy,enjoy,feedback,education
01JFE3FJPD50GPDJ544TZR2F3P,6719937f32a185e7b17573a3,NA,TRUE,01JFE2F4ZN1B35J4N7NYDFRJ14,22,Male,Instinct,"Yes, I like collaboration",Great Study,bachelor
01JFE3FPZDJZB6D1YV0YWQGJGG,61077b181bd5fdff11653ef6,1.83,TRUE,01JFE2F4ZPX2JA4S2YP9QSTGK7,30,Female,"I looked for the simplest, most common shape to describe the image.",Yes. My partner was very efficient and accurate with their descriptions.,N/A,bachelor
01JFE3KCV795ZHX37Q9H5A5B7T,64b00963c1ea5bb33dc30910,NA,NA,01JFE2F4ZN1B35J4N7NYDFRJ14,NA,NA,NA,NA,NA,NA
01JFE3KQKGF5ZWNRR417HD63HD,6762a1453b3bc252b8ea3bb8,NA,NA,01JFE2F4ZN1B35J4N7NYDFRJ14,NA,NA,NA,NA,NA,NA
01JFE39M62S9ZGB32JTRVGFVA6,66a7cf3480e5c2088515ba0b,1.89,TRUE,01JFE2F3G88EFKXAZ79H1Z0JEZ,24,male,be more specific about the shape at the beginning then shorten it to a code name,It was good they seemed to have a similar strategy,,bachelor
01JFE3C777EKW74B4WG3R493EE,5f088ba29bf08d0b3885f726,0,TRUE,01JFE2F3G88EFKXAZ79VCSWHZ9,45,f,0,0,survey never worked - never matched me with anyone,bachelor
01JFE3G0SARBJ072J7GT8109DN,67618364b279a51868e69497,1.89,TRUE,01JFE2F3G88EFKXAZ79H1Z0JEZ,33,Male,"Find common terms to relate to the objects to identify parts that don't change. For instance the letter M, an hourglass shape, a sort of chalice or cup, or a ""house"" with a diamond on top",Yes. I found common ground with my partner and we developed a shorthand communication rapport ,"Overall a good game, perhaps more variance in the shapes unless the idea is to observe the reduced time taken to guess as efficiency imrproves",high-school
01JFE3JG0DE7BWPK8YPFDRKY8Q,64f81076c88a550368cc0eab,1.83,TRUE,01JFE2F4ZKGQVWRPETSR6SJYE1,53,female,Using the same objects repeatedly,"Very fun, yes! We developed a great team!",Fun,bachelor
01JFE3F9A7MC48ZJQXD4G22DQY,66c90020843ac6baf8bbcb93,1.89,TRUE,01JFE2F3GA5Q3S2M2VD0KJEAF0,22,male,learning cue words as soon as possible,i mean its a pretty basic game,nothigng really,high-school
01JFE3GY5ZT54WVEMQ2G0MRS5E,5ae0b4bfeb6040000153bbc8,NA,NA,01JFE2F4ZN1B35J4N7NYDFRJ14,NA,NA,NA,NA,NA,NA
01JFE3H64GV2CMNC4B486BKYG2,62714a240ed387f760f6741b,NA,NA,01JFE2F62J0Y0NRB64DBCTBMP8,NA,NA,NA,NA,NA,NA
01JFE3CCBQ47YDA3T67EP5FJFP,6579b9de36f9cba8ba122678,1.89,TRUE,01JFE2F3GA5Q3S2M2VD0KJEAF0,19,woman,"Figure out a way to identify the shape as the director that can't be misinterpreted for the other three. Then, shorten the already known description as the game goes on.","Yes, I enjoyed being able to name things. Towards the end it may have been hard to understand to other people.",,high-school
01JFE3GNAK7CYZTKC2WCSCNTJE,636594aeb530d6f0868d9806,1.83,TRUE,01JFE2F4ZKGQVWRPETSR6SJYE1,58,male,describe shape with fewest words possible,"Yes,  They had good ideas about describing unusual shapes.",Thank you for letting me take part in your study.,bachelor
01JFE3H2BC2SBBNQ54SAWK0K6N,629e10d748005830b9eee9a0,NA,NA,01JFE2F62J0Y0NRB64DBCTBMP8,NA,NA,NA,NA,NA,NA
01JFE3XM7YJREJ6BV21BVETKVB,66989959a9a6e990d72c7a91,NA,TRUE,null,27,Female,,,,master
01JFE3GDVYFHT2K4XDK55QZ0DA,615d051e2366aeb051acb734,1.83,TRUE,01JFE2F4ZPX2JA4S2YP9QSTGK7,32,female,re-using the same descriptions,"yes, can understand my description well",,master
